producto_id,cantidad_total,D1_DEP,D2_DEP,pdv_1,pdv_2,pdv_3,pdv_4,pdv_5
DEP1,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0
DEP2,368.0,24.0,252.0,0.0,92.0,0.0,0.0,0.0
DEP3,318.0,196.0,122.0,0.0,0.0,0.0,0.0,0.0
DEP4,247.0,88.0,140.0,0.0,19.0,0.0,0.0,0.0
DEP5,318.0,90.0,194.0,0.0,34.0,0.0,0.0,0.0
DEP6,476.0,284.0,102.0,0.0,90.0,0.0,0.0,0.0
DEP7,230.0,30.0,200.0,0.0,0.0,0.0,0.0,0.0
DEP8,88.0,68.0,0.0,0.0,20.0,0.0,0.0,0.0
DEP9,549.0,376.0,80.0,0.0,93.0,0.0,0.0,0.0
DEP10,460.0,114.0,324.0,0.0,22.0,0.0,0.0,0.0
DEP11,446.0,84.0,354.0,0.0,8.0,0.0,0.0,0.0
DEP12,409.0,114.0,260.0,0.0,35.0,0.0,0.0,0.0
DEP13,214.0,162.0,52.0,0.0,0.0,0.0,0.0,0.0
DEP14,342.0,156.0,146.0,0.0,40.0,0.0,0.0,0.0
DEP15,204.0,100.0,104.0,0.0,0.0,0.0,0.0,0.0
DEP16,486.0,240.0,246.0,0.0,0.0,0.0,0.0,0.0
DEP17,215.0,28.0,164.0,0.0,23.0,0.0,0.0,0.0
DEP18,478.0,406.0,72.0,0.0,0.0,0.0,0.0,0.0
DEP19,168.0,142.0,26.0,0.0,0.0,0.0,0.0,0.0
DEP20,236.0,42.0,194.0,0.0,0.0,0.0,0.0,0.0
DEP21,514.0,306.0,208.0,0.0,0.0,0.0,0.0,0.0
DEP22,325.0,126.0,156.0,0.0,43.0,0.0,0.0,0.0
DEP23,108.0,14.0,0.0,0.0,94.0,0.0,0.0,0.0
DEP24,32.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0
DEP25,559.0,214.0,332.0,0.0,13.0,0.0,0.0,0.0
DEP26,463.0,228.0,166.0,0.0,69.0,0.0,0.0,0.0
DEP27,100.0,0.0,42.0,0.0,58.0,0.0,0.0,0.0
DEP28,242.0,2.0,166.0,0.0,74.0,0.0,0.0,0.0
DEP29,386.0,90.0,208.0,0.0,88.0,0.0,0.0,0.0
DEP30,407.0,206.0,174.0,0.0,27.0,0.0,0.0,0.0
DEP31,97.0,14.0,60.0,0.0,23.0,0.0,0.0,0.0
DEP32,510.0,228.0,282.0,0.0,0.0,0.0,0.0,0.0
DEP33,467.0,146.0,254.0,0.0,67.0,0.0,0.0,0.0
DEP34,177.0,46.0,98.0,0.0,33.0,0.0,0.0,0.0
DEP35,326.0,184.0,142.0,0.0,0.0,0.0,0.0,0.0
DEP36,464.0,148.0,316.0,0.0,0.0,0.0,0.0,0.0
DEP37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEP38,411.0,208.0,126.0,0.0,77.0,0.0,0.0,0.0
DEP39,393.0,210.0,182.0,0.0,1.0,0.0,0.0,0.0
DEP40,541.0,194.0,250.0,0.0,97.0,0.0,0.0,0.0
DEP41,416.0,278.0,40.0,0.0,98.0,0.0,0.0,0.0
DEP42,227.0,116.0,88.0,0.0,23.0,0.0,0.0,0.0
DEP43,249.0,4.0,212.0,0.0,33.0,0.0,0.0,0.0
DEP44,288.0,230.0,6.0,0.0,52.0,0.0,0.0,0.0
DEP45,421.0,184.0,194.0,0.0,43.0,0.0,0.0,0.0
DEP46,371.0,106.0,190.0,0.0,75.0,0.0,0.0,0.0
DEP47,398.0,72.0,326.0,0.0,0.0,0.0,0.0,0.0
DEP48,264.0,14.0,214.0,0.0,36.0,0.0,0.0,0.0
DEP49,240.0,84.0,156.0,0.0,0.0,0.0,0.0,0.0
DEP50,256.0,166.0,86.0,0.0,4.0,0.0,0.0,0.0
DEP51,199.0,130.0,16.0,0.0,53.0,0.0,0.0,0.0
DEP52,349.0,254.0,0.0,0.0,95.0,0.0,0.0,0.0
DEP53,431.0,208.0,154.0,0.0,69.0,0.0,0.0,0.0
DEP54,243.0,6.0,188.0,0.0,49.0,0.0,0.0,0.0
DEP55,350.0,118.0,232.0,0.0,0.0,0.0,0.0,0.0
DEP56,437.0,308.0,100.0,0.0,29.0,0.0,0.0,0.0
DEP57,330.0,284.0,4.0,0.0,42.0,0.0,0.0,0.0
DEP58,92.0,16.0,76.0,0.0,0.0,0.0,0.0,0.0
DEP59,448.0,274.0,174.0,0.0,0.0,0.0,0.0,0.0
DEP60,244.0,188.0,2.0,0.0,54.0,0.0,0.0,0.0
DEP61,242.0,142.0,100.0,0.0,0.0,0.0,0.0,0.0
DEP62,378.0,282.0,94.0,0.0,2.0,0.0,0.0,0.0
DEP63,561.0,324.0,198.0,0.0,39.0,0.0,0.0,0.0
DEP64,550.0,308.0,144.0,0.0,98.0,0.0,0.0,0.0
DEP65,362.0,272.0,78.0,0.0,12.0,0.0,0.0,0.0
DEP66,566.0,182.0,292.0,0.0,92.0,0.0,0.0,0.0
DEP67,306.0,96.0,122.0,0.0,88.0,0.0,0.0,0.0
DEP68,283.0,180.0,102.0,0.0,1.0,0.0,0.0,0.0
DEP69,438.0,0.0,350.0,0.0,88.0,0.0,0.0,0.0
DEP70,576.0,280.0,200.0,0.0,96.0,0.0,0.0,0.0
DEP71,112.0,38.0,0.0,0.0,74.0,0.0,0.0,0.0
DEP72,382.0,232.0,150.0,0.0,0.0,0.0,0.0,0.0
DEP73,525.0,336.0,160.0,0.0,29.0,0.0,0.0,0.0
DEP74,153.0,18.0,86.0,0.0,49.0,0.0,0.0,0.0
DEP75,563.0,290.0,254.0,0.0,19.0,0.0,0.0,0.0
DEP76,113.0,96.0,0.0,0.0,17.0,0.0,0.0,0.0
DEP77,129.0,6.0,60.0,0.0,63.0,0.0,0.0,0.0
DEP78,216.0,134.0,82.0,0.0,0.0,0.0,0.0,0.0
DEP79,304.0,120.0,166.0,0.0,18.0,0.0,0.0,0.0
DEP80,330.0,84.0,246.0,0.0,0.0,0.0,0.0,0.0
DEP81,315.0,208.0,54.0,0.0,53.0,0.0,0.0,0.0
DEP82,534.0,430.0,78.0,0.0,26.0,0.0,0.0,0.0
DEP83,265.0,224.0,0.0,0.0,41.0,0.0,0.0,0.0
DEP84,340.0,80.0,166.0,0.0,94.0,0.0,0.0,0.0
DEP85,227.0,42.0,138.0,0.0,47.0,0.0,0.0,0.0
DEP86,337.0,214.0,64.0,0.0,59.0,0.0,0.0,0.0
DEP87,266.0,140.0,100.0,0.0,26.0,0.0,0.0,0.0
DEP88,333.0,286.0,2.0,0.0,45.0,0.0,0.0,0.0
DEP89,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
DEP90,261.0,260.0,0.0,0.0,1.0,0.0,0.0,0.0
DEP91,207.0,138.0,22.0,0.0,47.0,0.0,0.0,0.0
DEP92,565.0,496.0,54.0,0.0,15.0,0.0,0.0,0.0
DEP93,413.0,146.0,188.0,0.0,79.0,0.0,0.0,0.0
