producto_id,cantidad_total,D1_DEP,D2_DEP,pdv_1,pdv_2,pdv_3,pdv_4,pdv_5
DEP1,94.0,0.0,0.0,0.0,0.0,0.0,69.0,25.0
DEP2,210.0,0.0,5.0,0.0,87.0,2.0,94.0,22.0
DEP3,159.0,0.0,0.0,98.0,0.0,0.0,61.0,0.0
DEP4,133.0,0.0,0.0,44.0,19.0,0.0,70.0,0.0
DEP5,124.0,0.0,13.0,6.0,21.0,13.0,0.0,71.0
DEP6,195.0,0.0,22.0,24.0,68.0,73.0,8.0,0.0
DEP7,115.0,0.0,0.0,0.0,0.0,15.0,100.0,0.0
DEP8,54.0,0.0,0.0,0.0,20.0,31.0,0.0,3.0
DEP9,301.0,0.0,5.0,91.0,88.0,0.0,34.0,83.0
DEP10,241.0,0.0,0.0,0.0,22.0,57.0,62.0,100.0
DEP11,227.0,0.0,0.0,34.0,16.0,0.0,97.0,80.0
DEP12,222.0,0.0,0.0,0.0,35.0,57.0,31.0,99.0
DEP13,107.0,0.0,0.0,68.0,0.0,13.0,7.0,19.0
DEP14,191.0,0.0,0.0,71.0,40.0,7.0,73.0,0.0
DEP15,102.0,0.0,0.0,0.0,0.0,50.0,31.0,21.0
DEP16,243.0,0.0,0.0,81.0,0.0,39.0,82.0,41.0
DEP17,119.0,0.0,0.0,0.0,23.0,14.0,82.0,0.0
DEP18,227.0,0.0,3.0,83.0,93.0,18.0,0.0,30.0
DEP19,84.0,0.0,0.0,63.0,0.0,0.0,13.0,8.0
DEP20,118.0,0.0,0.0,3.0,0.0,2.0,97.0,16.0
DEP21,257.0,0.0,0.0,98.0,0.0,55.0,60.0,44.0
DEP22,184.0,0.0,0.0,0.0,43.0,63.0,0.0,78.0
DEP23,101.0,0.0,0.0,0.0,94.0,0.0,0.0,7.0
DEP24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
DEP25,246.0,0.0,10.0,0.0,3.0,87.0,84.0,62.0
DEP26,230.0,0.0,9.0,21.0,60.0,71.0,69.0,0.0
DEP27,79.0,0.0,0.0,0.0,58.0,0.0,16.0,5.0
DEP28,158.0,0.0,0.0,1.0,74.0,0.0,21.0,62.0
DEP29,237.0,0.0,0.0,45.0,88.0,0.0,65.0,39.0
DEP30,197.0,0.0,5.0,0.0,35.0,80.0,34.0,43.0
DEP31,60.0,0.0,0.0,0.0,28.0,2.0,0.0,30.0
DEP32,255.0,0.0,0.0,24.0,0.0,90.0,82.0,59.0
DEP33,267.0,0.0,0.0,73.0,67.0,0.0,50.0,77.0
DEP34,105.0,0.0,0.0,23.0,33.0,0.0,49.0,0.0
DEP35,163.0,0.0,0.0,36.0,0.0,56.0,71.0,0.0
DEP36,232.0,0.0,0.0,24.0,0.0,50.0,82.0,76.0
DEP37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEP38,244.0,0.0,0.0,45.0,77.0,59.0,0.0,63.0
DEP39,197.0,0.0,0.0,6.0,100.0,0.0,0.0,91.0
DEP40,319.0,0.0,0.0,97.0,97.0,0.0,75.0,50.0
DEP41,257.0,0.0,0.0,51.0,98.0,88.0,20.0,0.0
DEP42,125.0,0.0,0.0,58.0,23.0,0.0,19.0,25.0
DEP43,141.0,0.0,0.0,2.0,33.0,0.0,97.0,9.0
DEP44,170.0,0.0,0.0,55.0,52.0,60.0,0.0,3.0
DEP45,232.0,0.0,0.0,0.0,43.0,82.0,85.0,22.0
DEP46,223.0,0.0,0.0,53.0,75.0,0.0,18.0,77.0
DEP47,199.0,0.0,0.0,36.0,0.0,0.0,88.0,75.0
DEP48,150.0,0.0,0.0,7.0,36.0,0.0,66.0,41.0
DEP49,120.0,0.0,0.0,0.0,0.0,42.0,78.0,0.0
DEP50,130.0,0.0,0.0,75.0,4.0,8.0,43.0,0.0
DEP51,126.0,0.0,0.0,64.0,54.0,0.0,8.0,0.0
DEP52,222.0,0.0,0.0,80.0,95.0,47.0,0.0,0.0
DEP53,250.0,0.0,0.0,46.0,69.0,58.0,77.0,0.0
DEP54,146.0,0.0,0.0,0.0,49.0,3.0,94.0,0.0
DEP55,175.0,0.0,0.0,59.0,0.0,0.0,28.0,88.0
